info: PREM model for 200. s
info: Dziewonski and Anderson, 1981, PEPI, 25, 279-356
info:  radius        vp         vs      density       gravity    poiss     young         lambda        mu            beta          bulk
info:  [km]          [m/s]      [m/s]   [kg/m^3]      [m/s^2]    [-]       [Pa]          [Pa]          [Pa]          [Pa]          [Pa]
         35.0000 11217.9771  3594.5506 13088.2333     0.1280     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         36.0000 11217.9661  3594.5430 13088.2178     0.1316     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         37.0000 11217.9547  3594.5351 13088.2019     0.1353     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         38.0000 11217.9431  3594.5271 13088.1856     0.1390     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         39.0000 11217.9312  3594.5188 13088.1688     0.1426     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         40.0000 11217.9189  3594.5103 13088.1516     0.1463     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         41.0000 11217.9063  3594.5016 13088.1340     0.1499     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         42.0000 11217.8934  3594.4927 13088.1159     0.1536     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         43.0000 11217.8802  3594.4836 13088.0974     0.1572     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         44.0000 11217.8667  3594.4743 13088.0785     0.1609     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         45.0000 11217.8529  3594.4647 13088.0591     0.1646     0.4428    0.4880E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         46.0000 11217.8388  3594.4549 13088.0393     0.1682     0.4428    0.4879E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         47.0000 11217.8244  3594.4449 13088.0190     0.1719     0.4428    0.4879E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
         48.0000 11217.8096  3594.4347 13087.9983     0.1755     0.4428    0.4879E+12    0.1309E+13    0.1691E+12    0.1647E+13    0.1422E+13
